Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY,Only at Pratt,Held at other library
i10193868,"Baltimore, Johns Hopkins Press [1970]",338.973 L666E,1,,  -  -    ,801811449,"Economic opportunity in the ghetto: the partnership of government and business [by] Sar A. Levitan, Garth L. Mangum [and] Robert Taggart III.",,,
i10193935,"New York, Van Nostrand Reinhold [c1969]",655.3 A428,1,,  -  -    ,,Printing with the handpress. Herewith a definitive manual by Lewis M. Allen to encourage fine printing through hand-craftsmanship.,X,,
i10194009,"New York, Morrow, 1970.",301.32 T978,2,,  -  -    ,6,Born to starve [by] Joseph D. Tydings.,,,
i10194058,"London, Cambridge U.P., 1970.",530.41 F613,6,,  -  -    ,521075971 80/-; ($13.50),The chemical physics of ice [by] N. H. Fletcher.,,,
i10194101,"New York, Teachers College Press [1970]",510.7 F433,1,,  -  -    ,,Patterns of verbal communication in mathematics classes.,X,,
i10194137,"New York, Arno Press, 1969.",370 N354,2,,  -  -    ,,The new education.,,,
i10194162,"Los Angeles, Nash Pub. [1970]",355.6 B348,3,,  -  -    ,840211309 6.95,The lonely warriors; case for the military-industrial complex.,X,,
i10194174,"New York, Knopf, 1970.",301.411 B412,2,,  -  -    ,5.95,The male in crisis. Translated from the German by Helen Sebba.,,,
i10194186,"Grand Rapids, Mich., Eerdmans [1970]",261.8 G532,2,,  -  -    ,2.45,"The New Left and Christian radicalism, by Arthur G. Gish.",,,
i10194198,"Baltimore, Johns Hopkins Press [1970]",331.11 R982,0,,  -  -    ,801811414,"Manpower challenge of the 1970's: institutions and social change [by] Stanley H. Ruttenberg, assisted by Jocelyn Gutchess.",,,
i10194204,"New York, McGraw-Hill [1970]",364.157 S716C,0,,  -  -    ,,The crime of Martin Sostre.,X,,
i10194307,"New York, Hart Pub. Co. [1970]",372 O58zS,5,,  -  -    ,0805510753 7.50,Summerhill: for & against.,X,,
i10194319,"New York, Hart Pub. Co. [1970]",372 O58zS,3,,  -  -    ,0805510753 7.50,Summerhill: for & against.,X,,
i1019440x,"Boston, Houghton Mifflin, 1970.",378.1981 H339,1,,  -  -    ,6.95,The Harvard strike [by] Lawrence E. Eichel [and others],,,
i10194423,Washington [1970],378.1 A512C,1,,  -  -    ,0826812171 7.00,The campus and the racial crisis. Edited by David C. Nichols and Olive Mills.,X,,
i10194575,"London, New York, Wiley-Interscience, 1969.",530.41 B598,1,,  -  -    ,471072400 70/-,Tensor properties of materials; generalized compliance and conductivity [by] A. R. Billings.,,,
i10194599,"Baltimore, Johns Hopkins Press [1970]",340 C615,0,,  -  -    ,80181071X 10.00,The Supreme Court and the electoral process.,,,
i10194733,"Chapel Hill, University of North Carolina Press [1970]",327.44 B658,0,,  -  -    ,807811262 9.75,"France and the United States; their diplomatic relation, 1789-1914.",X,,
i10194861,"New York, Knopf, 1970.",362.1 C928,6,,  -  -    ,5.95,Five patients: the hospital explained.,X,,
i10194885,"New York, Praeger Publishers [1970]",211 M478,6,,  -  -    ,9,Concepts of God in Africa [by] John S. Mbiti.,,,
i10194903,"Boston, Gambit, 1970.",320.9495 V765,4,,  -  -    ,6.95,House arrest.,,,
i10194927,"New York, McGraw-Hill [1970]",519 B468,4,1,  -  -    ,,"Probability, statistics, and decision for civil engineers [by] Jack R. Benjamin [and] C. Allin Cornell.",,,
i10194939,"New York, Russell Sage Foundation, 1970.",353.009 G222,0,,  -  -    ,5.95,The politics of corruption; organized crime in an American city [by] John A. Gardiner.,,,
i10195026,"Del Mar, Calif., CRM Books [1970]",370.15 R287,2,,  -  -    ,87665104X,"Readings in educational psychology today. Contributing editor, John P. De Cecco.",,,
i10195130,"New York, Harcourt, Brace & World [1970]",189.4 G756,1,,  -  -    ,0151717109 6.95,Peter Abelard; philosophy and Christianity in the Middle Ages. Translated by Frederick and Christine Crowley. Bibliography and notes edited by Derek Baker.,X,,
i10195166,"New York, AMS Press [1970]",370 M662A,2,,  -  -    ,404002986,"Milton on education, the tractate of education, with supplementary extracts from other writings of Milton. Edited with an introd. and notes by Oliver Morley Ainsworth.",,,
i1019521x,"New York, Basic Books [1970]",301.09 G696,3,,  -  -    ,465012787 12.50,The coming crisis of Western sociology [by] Alvin W. Gouldner.,,,
i10195415,"Reading, Mass., Addison-Wesley Pub. Co. [1970]",530.7 R129,1,,  -  -    ,,An introduction to experimentation.,,,
i10195488,"New York, Harper & Row [1970]",149.8 N935,12,,  -  -    ,5.95,The experience of nothingness.,,,
i10195610,"Cambridge, Mass., MIT Press [1970]",301.24 M315,11,,  -  -    ,262510081,"March 4: scientists, students, and society. Edited by Jonathan Allen.",,,
i1019566x,"Seattle, University of Washington Press [1970]",353.00823 C749,3,,  -  -    ,295950560 8.95,Congress and the environment. Edited by Richard A. Cooley [and] Geoffrey Wandesforde-Smith.,,,
i10195737,"New York, Knopf, 1970.",282.0922 G778,2,,  -  -    ,6.95,Divine disobedience: profiles in Catholic radicalism.,,,
i10195750,"Newton Abbott, David & Charles, 1970.",643.7 E24,1,,  -  -    ,0715347942 35/-,Your country cottage: a guide to purchase and restoration [by] R. C. Edmunds.,ONLY PRATT,,
i10195877,"Englewood Cliffs, N.J., Prentice-Hall [1970]",301.32 F711,2,,  -  -    ,138155550 9.95,Social demography. Edited by Thomas R. Ford [and] Gordon F. De Jong.,,,
i10195907,"Berkeley, University of California Press, 1970.",523.01 S741,0,,  -  -    ,520014103 10.00,Spectroscopic astrophysics; an assessment of the contributions of Otto Struve. Edited by G. H. Herbig.,,,
i1019597x,"Oxford, New York, Pergamon Press [1970]",641.12 I61,30,,  -  -    ,80066356,Evaluation of novel protein products; proceedings of the International Biological Programme (IBP) and Wenner-Gren Center Symposium. Edited by A. E. Bender [and others.,X,,
i10196018,"New York, Praeger [1970]",341.67 R643,2,,  -  -    ,6.95,"The nuclear years; the arms race and arms control, 1945-70 [by] Chalmers M. Roberts.",,,
i1019616x,[New York] Macmillan [1970],332.64 S677,3,,  -  -    ,,The curbstone brokers; the origins of the American Stock Exchange.,,,
i10196286,"New York, Grove Press [1970, c1969]",350.74092 W185,52,,  -  -    ,,Voices from the bottom of the world; a policeman's journal [by] T. Mike Walker.,,,
i10196304,"New York, Columbia University Press, 1970.",301.451 C748,5,,  -  -    ,0231032955 10.00,"Race and class in Latin America. Magnus Morner, editor.",X,,
i10196389,"New York, [Twentieth Century Fund] 1969.",384.5 C735L,1,,  -  -    ,1,Communicating by satellite; report of the Twentieth Century Fund Task Force on International Satellite Communications. Background paper by Paul L. Laskin.,,,
i10196432,"Metuchen, N.J., Scarecrow Press, 1970.",343.7 S531,1,,  -  -    ,81080316X,Commentaries on obscenity. Edited by Donald B. Sharp.,,,
i10196535,"Dobbs Ferry, N.Y., Oceana Publications, 1970 [c1954]",347.4 W762,3,,  -  -    ,379110687 3.00,The law of contracts.,,,
i10196572,"New York, Harper & Row [1970]",370.193 R121,9,1,  -  -    ,5.95,Racism and American education; a dialogue and agenda for action. Participants: Harold Howe [and others] Introd. by McGeorge Bundy. Foreword by Averell Harriman. [Edited by Elinor L. Gordon.,,,
i1019678x,"San Francisco, Jossey-Bass, 1970.",378.1 M825,0,,  -  -    ,875890679,Against the odds.,,,
i10196845,"New York, Morrow, 1970.",301.451 S798,3,,  -  -    ,6.95,The education of a WASP.,,,
i10196869,"Berkeley, Glendessary Press [1969]",370.973 R137z0,0,,  -  -    ,0877092060 2.45,"Readin, ritin, and Rafferty; a study of educational fundamentalism, by William O'Neill.",X,,
i10196870,"New York, Hawthorn Books [1970]",301.15 M758D,3,,  -  -    ,7.95,The direction of human development.,,,
i10197011,"New York, W. Morrow, 1970.",378.198 K12,7,,  -  -    ,6.95,The battle for Morningside Heights; why students rebel. Foreword by Eugene McCarthy.,,,
i10197023,"Garden City, N.Y., Doubleday, 1970.",329.3 G148,1,,  -  -    ,4.95,"Who needs the democrats, and what it takes to be needed.",,,
i1019714x,"Indianapolis, Bobbs-Merrill [1970]",320.52 T889,2,,  -  -    ,5,Radical libertarianism; a right wing alternative.,,,
i10197230,"Englewood Cliffs, N.J., Prentice-Hall [1970]",301.4528 A545,1,1,  -  -    ,0139574239 6.95,White Protestant Americans; from national origins to religious group [by] Charles H. Anderson.,X,,
i10197291,"Berlin, New York, Springer-Verlag, 1970.",415 G878,9,,  -  -    ,38,Introduction to formal grammars [by] M. Gross [and] A. Lentin. With a preface by Noam Chomsky. Translated by M. Salkoff.,,,
i10197412,"New York, Pegasus [1970]",301.451 A469,1,,  -  -    ,2.75,Community control: the black demand for participation in large American cities [by] Alan A. Altshuler.,,,
i10197436,"New York, Pegasus [1970]",353.00823 D256,1,2,  -  -    ,6,"The politics of pollution [by] J. Clarence Davies, III.",,,
i10197485,"Philadelphia, Lippincott [1970]",322.4 S384,1,,  -  -    ,6.95,Reparations: the Black manifesto and its challenge to white America.,,,
i10197588,[Philadelphia] Federal Reserve Bank of Philadelphia [1970],332.11 M534,3,,  -  -    ,,"Men, money & policy; essays in honor of Karl R. Bopp. Edited by David P. Eastburn.",,,
i10197618,"Chicago, Aldine Pub. Co. [1970]",306 G618,0,,  -  -    ,,Women in the field; anthropological experiences.,,,
i10197667,"New York, Holt, Rinehart and Winston [c1970]",155.5 C689P7,9,1,  -  -    ,30781256,Psychology of adolescence [by] Luella Cole with Irma Nelson Hall.,,,
i10197709,"New York, Random House [1970]",309.1748 B614,3,,  -  -    ,6.95,"Whitetown, U.S.A.",,,
i10197801,"New York, Gordon and Breach [1970]",537.64 O62,3,,  -  -    ,,"Lectures on electrodynamics [by] J. Robert Oppenheimer. Notes compiled at Berkeley, California, by S. Kusaka, with the collaboration of S. Frankel and E. Nelson. Edited by B. S. DeWitt.",,,
i10197813,"New York, McCall Pub. Co. [1970]",364.152 L831,20,,  -  -    ,841500258 8.95,Against the evidence; the Becker-Rosenthal affair.,,,
i10197953,"New York, Holt, Rinehart and Winston [1970]",248.4 B533,0,,  -  -    ,030845130 5.95,Prison journals of a priest revolutionary. Compiled and edited by Vincent McGee. Introd. by Daniel Berrigan.,,,
i10197989,"Westport, Conn., Negro Universities Press [1970]",301.451 C648B,0,,  -  -    ,837135885,"Black America; a study of the ex-slave and his late master. Reprinted, with large additions, from the Times.",,,
i10198064,"New York, Pierpont Morgan Library, 1969.",095 P378,51,,  -  -    ,875980007,"Bookbindings by T. J. Cobden-Sanderson; an exhibition at the Pierpont Morgan Library, September 3-November 4, 1968. Compiled by Frederick B. Adams, Jr.",,,
i10198106,"New York, Scribner [1970]",301.24 S416,4,,  -  -    ,5.95,Science looks at itself. Compiled and edited by National Science Teachers Association.,,,
i10198295,"Princeton, N.J., Princeton University Press, 1970.",193 W215,1,,  -  -    ,0691071640 7.50,"Karl Jaspers; an introduction to his philosophy, by Charles F. Wallraff.",X,,
i10198404,"New York, Scribner [1970]",355.0213 D687,2,,  -  -    ,6.95,"Militarism, U.S.A. [by] James A. Donovan. With a foreword by David M. Shoup.",,,
i10198453,"New York, Liveright [1970]",327.5073 C187,13,,  -  -    ,0871405008 7.95,Unbind your sons; the captivity of America in Asia [by] Alex Campbell.,X,,
i10198556,"New York, Gordon and Breach Science Publishers [1970]",620.16 B248,10,,  -  -    ,677026307,Why metals fail [by] R. D. Barer [and] B. F. Peters.,,,
i10198647,"Indianapolis, Bobbs-Merrill [1970]",309.173 B924D,0,,  -  -    ,8.5,"Did you ever see a dream walking? American conservative thought in the twentieth century. Edited by William F. Buckley, Jr.",,,
i10198994,"New York, Grossman Publishers, 1970.",380.5 F319,2,,  -  -    ,1.45,"The interstate commerce omission, the public interest and the ICC; The Ralph Nader study group report on the Interstate Commerce Commission and transportation, [by] Robert C. Fellmeth, project director [and others]",X,,
i10199123,"New York, Oxford University Press, 1970.",301.36 T756,2,,  -  -    ,6.75,Cities on the move [by] Arnold Toynbee.,,,
i10199147,"Garden City, N.Y., Doubleday, 1970.",232.9 L241,8,,  -  -    ,5.95,The man from Galilee; a life of Jesus [by] George M. Lamsa.,,,
i10199159,"New York, Coward-McCann [1970]",324.73 S283,2,,  -  -    ,7.95,The real majority [by] Richard M. Scammon and Ben J. Wattenberg.,,,
i10199160,"New York, Free Press [1970]",301.453 G788,3,,  -  -    ,,"The Mexican-American people, the Nation's second largest minority [by] Leo Grebler, Joan W. Moore [and] Ralph C. Guzman. With Jeffrey L. Berlant [and others]",,,
i10199305,"Garden City, N.Y., Published for the American Museum of Natural History [by] the Natural History Press, 1970.",301.3 C147,4,,  -  -    ,7.95,Environment: a challenge for modern society.,,,
i10199330,"New York, Harcourt Brace Jovanovich [c1970]",364.13 A482,1,,  -  -    ,151455015,Involuntary journey to Siberia [by] Andrei Amalrik. Translated by Manya Harari and Max Hayward. Introd. by Max Hayward.,,,
i10199366,"New York, Pathfinder Press, 1970.",335.4 L977,6,,  -  -    ,10,Rosa Luxemburg speaks. Edited with an introd. by Mary-Alice Waters.,,,
i10199421,"New York, Pantheon Books [1970]",338.91 M998,1,,  -  -    ,8.95,The challenge of world poverty; a world anti-poverty program in outline. With a foreword by Francis O. Wilcox.,,,
i10199433,"New York, Pantheon Books [1970]",338.91 M998,0,,  -  -    ,8.95,The challenge of world poverty; a world anti-poverty program in outline. With a foreword by Francis O. Wilcox.,,,
i10199536,"New York, American Elsevier Pub. Co., 1970.",658.502 H236,7,,  -  -    ,444000674,"Systems approach to architecture, by A. Benjamin Handler.",,,
i1019972x,"New York, Wiley-Interscience [1970]",550.184 H255,7,,  -  -    ,471351369,"Computer simulation in geology, by John W. Harbaugh and Graeme Bonham-Carter.",,,
i10199731,"Garden City, N.Y., Doubleday, 1970.",380.5 D181,7,,  -  -    ,5.95,Transportation; managing man on the move [by] Paul M. Danforth.,,,
i10199858,"Stanford, Calif., Stanford University Press, 1970.",335.437 D144,0,,  -  -    ,0804707278 5.95,Political terror in communist systems [by] Alexander Dallin and George W. Breslauer.,X,,
i10200113,"New York, Appleton-Century-Crofts [1970]",300.18 D265,0,,  -  -    ,039025746X,Information processing; applications in the social and behavioral sciences [by] William I. Davisson.,X,,
i10200198,"Indianapolis, Bobbs-Merrill [1970]",309.173 D357,3,,  -  -    ,7.5,Revolutionary nonviolence: essays by Dave Dellinger.,,,
i10200241,"Chicago, Aldine Pub. Co. [1970]",347.99 L552,4,,  -  -    ,,Social action & legal change; revolution within the juvenile court [by] Edwin M. Lemert.,,,
i10200289,"Englewood Cliffs, N.J., Prentice-Hall [1970]",690 S658P2,4,,  -  -    ,137019610 17.25,Principles and practices of light construction [by] Ronald C. Smith.,,,
i1020037x,"New York, Published for the Council on Foreign Relations by Praeger Publishers [1970]",301.2952 O52,4,,  -  -    ,10,Japan in postwar Asia [by] Lawrence Olson.,,,
i10200423,"New York, Oxford University Press, 1970.",301 B458,0,,  -  -    ,9.75,Embattled reason; essays on social knowledge.,,,
i10200678,"Ann Arbor, Bureau of Business Research, University of Michigan [c1969]",338.473 C837,0,,  -  -    ,,"The Cost of conflict; lectures given at Western Michigan University under the sponsorship of the Department of Economics, winter semester, 1968. John A. Copps, editor.",X,,
i10200733,"New York, Dunellen [1970]",364.973 C929,1,,  -  -    ,842400044,"Crime in urban society [by] Joseph S. Clark [and others] Barbara N. McLennan, editor. Foreword by Ramsey Clark.",,,
i10200745,"New York, Atheneum, 1970.",573.2 A677S,2,1,  -  -    ,10,The social contract; a personal inquiry into the evolutionary sources of order and disorder. Drawings by Berdine Ardrey.,,,
i10200769,"Brooklyn, T. Gaus' Sons [1970]",332.4 W722,1,,  -  -    ,,"The immorality of inflation; a study of the moral, political, and economic consequences of a national inflationary policy, by Charles E. Williams.",,,
i10200812,"New York, American Elsevier Pub. Co., 1970.",523.8 G548,1,,  -  -    ,444196331 7.50,"The dwarf novae, by John S. Glasby.",,,
i1020085x,"Cambridge [Eng.] University Press, 1970.",655.4 B471ENG,20,,  -  -    ,52107701X 75/-; ($12.50),"English books & readers 1603-1640; being a study in the history of the book trade in the reigns of James I and Charles I, by H. S. Bennett.",,,
i10200885,"New York, Academic Press, 1970.",541.224 E98,1,,  -  -    ,,"Valency, edited by Henry Eyring.",,,
i10201002,"Washington, Brookings Institution [1970]",338.973 K41,0,,  -  -    ,815749023 6.95,"Government against poverty [by] Joseph A. Kershaw, with the assistance of Paul N. Courant.",,,
i1020104x,"New York, B. Franklin [1970]",686.20942 C384D,8,,  -  -    ,,William Caxton.,,,
i10201087,"New York, Abrams [1970]",296.4 K16,5,,  -  -    ,810901781,Jewish ceremonial art and religious observance.,,,
i1020121x,"Chicago, Quadrangle Books, 1970.",329.81 J65,1,,  -  -    ,0812901525 8.95,"Pacifist's progress; Norman Thomas and the decline of American socialism, by Bernard K. Johnpoll.",X,,
i10201257,"Metuchen, N.J., Scarecrow Press, 1970.",378.154 J17,10,1,  -  -    ,810803240,"Night and day: the interaction between an academic institution and its evening college, by Myrtle S. Jacobson.",,,
i10201270,"New York, Simon and Schuster [1970]",355.22 S794,0,,  -  -    ,671205722 4.95,Up against the brass.,,,
i10201336,"Boston, Little, Brown [1970]",309.23 H838,0,,  -  -    ,5.95,"A peck of salt; a year in the ghetto, by John T. Hough, Jr.",,,
i10201415,"New York, Dutton, 1970.",364.15 K13,6,,  -  -    ,9.95,"R. F. K. must die!"" A history of the Robert Kennedy assassination and its aftermath.
i10201488~[New York] Committee for Economic Development [1970]~301.364 B617~2~~""  -  -    ",1,,
i1020149x,"New York, Putnam [1970]",333.72 A211,1,,  -  -    ,7.95,Eleventh hour; a hard look at conservation and the future [by] Alexander B. Adams.,,,
i1020166x,"New York, McGraw-Hill [1970]",510.02 M572,3,,  -  -    ,70415129,Modern mathematical methods in engineering [by] Frederick S. Merritt.,,,
i10201683,"Harmondsworth, Penguin, 1970.",330.94 D336,0,,  -  -    ,140212027 8/-,Towards one Europe [by] Stuart de la Mahotiere.,,,
i1020183x,"New York, Random House [1970]",309.173 R347,2,,  -  -    ,394427300 7.95,The greening of America; how the youth revolution is trying to make America livable [by] Charles A. Reich.,,,
i10202018,"Scranton, Pa., International Textbook Co. [1970]",378.112 N532,1,,  -  -    ,700223126 7.50,"New dimensions in student personnel administration. Edited by Orley R. Herron, Jr.",,,
i10202080,"Amsterdam, North-Holland Pub. Co.; New York, American Elsevier Pub. Co. [1970-",509.2 E33K,0,,  -  -    ,720401631 (v. 1) $9.50 (v. 1),Paul Ehrenfest [by] Martin J. Klein.,,,
i10202122,"Philadelphia, Westminster Press [1970]",294.3 S974,12,3,  -  -    ,664208959,"Buddhism in transition, by Donald K. Swearer.",,,
i10202225,"Grand Rapids, Eerdmans [1970]",261.83 E47M,0,,  -  -    ,5.95,The meaning of the city. Introd. by John Wilkinson. Translated by Dennis Pardee.,,,
i10202237,"New York, Praeger [1970]",320.973 M848,7,,  -  -    ,12.5,"Truth and power, essays of a decade, 1960-70 [by] Hans J. Morgenthau.",,,
i10202262,"New York, Octagon Books, 1970 [1939]",301.451 D816B,3,,  -  -    ,,Black folk: then and now; an essay in the history and sociology of the Negro race.,,,
i10202365,"New York, Praeger Publishers [1970]",301.451 D824,1,,  -  -    ,12.5,"Great documents in Black American history, edited by George Ducas, with Charles Van Doren. Introd. by C. Eric Lincoln.",,,
i10202419,"New York, Dutton, 1970.",301.3 R544,1,,  -  -    ,0525081083 5.95,The politics of ecology.,X,,
i10202481,"Los Angeles, Ward Ritchie Press [1970]",641 B146,0,,  -  -    ,,This uncommon heritage; the Paul Masson story.,,,
i10202535,"[Harrisburg, Pa.] Stackpole Books [1970]",363.74 S857I,9,,  -  -    ,811708918 $6.95,In quest of quiet; meeting the menace of noise pollution: call to citizen action.,,,
i10202547,"London, Methuen, 1970.",335.43 F537,2,,  -  -    ,416155502 55/-,The insurrectionists [by] W. J. Fishman.,,,
i10202584,"Boston, Little, Brown [1970]",282.45 F184,3,,  -  -    ,10,The silence of Pius XII. Translated by Bernard Wall.,,,
i10202754,"Harmondsworth, Penguin, 1969.",338.19 P668,4,,  -  -    ,0140210458 5/-,Food resources: conventional and novel [by] N. W. Pirie; with a foreword by C. A. Coulson.,X,,
i10202808,"New York, Columbia University Press, 1970 [i.e. 1971]",575.1 D635G,0,,  -  -    ,0231028377 $10.95,Genetics of the evolutionary process [by]Theodosius Dobzhansky.,X,,
i10202882,"Philadelphia, Lippincott [1970]",200 C747B,1,,  -  -    ,$5.50,A Black theology of liberation [by] James H. Cone.,,,
i10203047,"New York, Pitman [1970]",330 T385,5,,  -  -    ,5.95,The economics of abundance; a non-inflationary future.,X,,
i10203096,"New York, Hastings House [1970]",301.16 S821,15,1,  -  -    ,0803811519 $10.00,"The communicative arts; an introduction to mass media, by Charles S. Steinberg.",,,
i10203175,"New York, Praeger Publishers [1970]",301.2967 B171,1,,  -  -    ,$14.00,The sociology of Black Africa; social dynamics in Central Africa. Translated by Douglas Garman.,,,
i10203205,"New York, Van Nostrand Reinhold Co. [1970]",655.316 S398,7,,  -  -    ,,Screen-process printing for the serigrapher & textile designer [by] Mathilda V. Schwalbach & James A. Schwalbach.,,,
i10203217,"New York, Van Nostrand Reinhold Co. [1970]",655.316 S398,5,,  -  -    ,,Screen-process printing for the serigrapher & textile designer [by] Mathilda V. Schwalbach & James A. Schwalbach.,,,
i10203333,"New York, Scribner [1970]",599.748 S317,5,,  -  -    ,$7.95,The year of the seal [by] Victor B. Scheffer. Illus. by Leonard Everett Fisher.,,,
i10203345,"New York, Basic Books [1970]",378.198 G553,3,,  -  -    ,465069126 $7.95,Remembering the answers; essays on the American student revolt.,X,,
i10203370,"New York, Pica Press [1970, c1969]",320.532 C434,0,,  -  -    ,0876637039 $7.00,Essential works of Chinese communism.,X,,
i10203382,"New York, World Pub. Co. [1970]",320.98 Y49,5,,  -  -    ,7.5,Down there.,,,
i10203394,"New York, Praeger [1969]",338.91 P449,1,,  -  -    ,$6.00,International policy for the world economy [by] J. O. N. Perkins.,,,
i10203485,[New York] Herder and Herder [1970],378.73 J56,0,,  -  -    ,$9.50,Culture out of anarchy; the reconstruction of American higher learning.,X,,
i10203515,"New York, Teachers College Press [c1969]",370.973 G244,4,,  -  -    ,,"Jewish education in the United States; a documentary history, edited, with an introd. and notes, by Lloyd P. Gartner.",,,
i10203631,"New York, McGraw-Hill [1970]",322.4 G625,4,,  -  -    ,07023678X,"The new politics: polarization or Utopia? [compiled by] Robert T. Golembiewski, Charles S. Bullock, III [and] Harrell R. Rodgers, Jr.",,,
i10203679,"New York, 1970]",301.423 C536,2,,  -  -    ,87183331X $3.50,Where we are; a hard look at family and society [by] Leonard Buder [and others.,,,
i10203722,"New York, McGraw-Hill [1970]",382.0917 P675,1,,  -  -    ,,Coexistence and commerce; guidelines for transactions between East and West.,,,
i10203928,"Beverly Hills, Calif., Sage Publications [1970]",365 M285,3,,  -  -    ,803900791,The time game; two views of a prison [by] Anthony J. Manocchio and Jimmy Dunn. With an introd. and postscript by LaMar T. Empey.,,,
i10203941,[New York] American Management Association [1970],658.403 K91,5,,  -  -    ,81445223X $16.00,Computer-based management information systems [by] Leonard I. Krauss.,,,
i10203953,"New York, Funk & Wagnalls [1970]",353.035 N736,0,,  -  -    ,$10.00,"Setting the course, the first year; major policy statements by President Richard Nixon. Commentaries by Richard Wilson.",,,
i10204015,"Cambridge, Ma., MIT Press [1970]",338.9 L657,21,,  -  -    ,262120364,"An analytical framework for regional development policy [by] Charles L. Leven, John B. Legler [and] Perry Shapiro.",,,
i10204118,"Ithaca, N.Y., Cornell University Press [1970]",128.3 A236,3,,  -  -    ,801406048 $8.50,"From the many to the one; a study of personality and views of human nature in the context of ancient Greek society, values, and beliefs [by] A. W. H. Adkins.",,,
i1020412x,"New York, McKay [1970]",332.024 J33,2,,  -  -    ,$5.95,What shall I do with my money?,X,,
i10204131,"Oxford, Blackwell Scientific Publications [1970]",574.192 D126,2,,  -  -    ,632031204,An introduction to metabolic pathways [by] S. Dagley [and] Donald E. Nicholson.,,,
i10204362,"New York, Random House [1970, c1969]",301.1 L722,3,,  -  -    ,0394417542 5.95,Boundaries; psychological man in revolution.,X,,
i10204477,"London, New York, J. Wiley [1969]",541.224 M984V2,3,,  -  -    ,471626880,"Valence theory [by] J. N. Murrell, S. F. A. Kettle [and] J. M. Tedder.",,,
i10204532,"San Francisco, Jossey-Bass, 1970.",378.73 M469,0,,  -  -    ,875890741,Arrogance on campus [by] Lewis B. Mayhew.,,,
i10204696,"Boston, Little, Brown [1970]",301.54 H447,8,,  -  -    ,$7.50,Because it is right; integration in housing [by] James L. Hecht.,,,
i10204738,"Chicago, Quadrangle Books; distributed by Random House [1970]",341.4 T246,2,,  -  -    ,$5.95,Nuremberg and Vietnam: an American tragedy.,,,
i10205226,"New York, R. R. Bowker Co., 1970-",371.3078 T557,1,,  -  -    ,835204626,"To improve learning; an evaluation of instructional technology. Edited by Sidney G. Tickton with the staff of the Academy for Educational Development, inc.",,,
i10205238,"New York, R. R. Bowker Co., 1970-",371.3078 T557,1,,  -  -    ,835204626,"To improve learning; an evaluation of instructional technology. Edited by Sidney G. Tickton with the staff of the Academy for Educational Development, inc.",,,
i10205366,"New York, Harper & Row [1970]",320.94 M472,2,,  -  -    ,$8.95,The recovery of Europe: from devastation to unity.,,,
i10205573,"London, Macmillan, 1970.",325.2 C753,1,,  -  -    ,0333105753 50/-,The nation killers: the Soviet deportation of nationalities.,X,,
i10205639,"New York, Basic Books [1970]",428.4 L655,1,,  -  -    ,465005780 $10.00,Basic studies on reading. Edited by Harry Levin and Joanna P. Williams.,,,
i10205664,"Beverly Hills, Calif., Sage Publications [1970]",309.17471 F545,3,,  -  -    ,803900775,"Agenda for a city; issues confronting New York. Lyle C. Fitch and Annmarie Hauck Walsh, editors.",,,
i10205767,"London, New York, Published for the Development Centre of the Organisation for Economic Co-operation and Development by Oxford U.P., 1970.",338.9549 L676,5,,  -  -    ,192153285 55/-,"Pakistan: industrialization and trade policies [by] Stephen R. Lewis, Jr.",,,
i10205809,"New York, Appleton-Century Crofts [1970]",155.93 L351,0,,  -  -    ,390540935,The unresponsive bystander: why doesn't he help? [By] Bibb Latane [and] John M. Darley.,,,
i10205895,"Hanover, Dartmouth College [1970]",096.1 R393,1,,  -  -    ,,Renaissance books of science; from the collection of Albert E. Lownes. [Compiled by David R. Godine in collaboration with Owen Gingerich],,,
i10206048,"New York, Walker [1970]",340 L415,1,,  -  -    ,802703151 $15.00,"Law and the environment. Edited by Malcolm F. Baldwin and James K. Page, Jr.",,,
i10206097,"New York, Taplinger Pub. Co. [1970]",301.42 C777,6,,  -  -    ,800839811 $3.95,How to stay married. Illustrated by Timothy Jaques.,,,
i10206279,"New York, G. Braziller [1971]",307.76 B115,24,,  -  -    ,080760576X $6.95,"The ideal Communist city, by Alexei Gutnov [and others] Translated [from the Italian text] by Renee Neu Watkins.",X,,
i10206553,"Lincoln, University of Nebraska Press [1970]",347.73 B829,0,,  -  -    ,0803207514 $5.95,Congress against the Court.,X,,
i10206565,"Berlin, Heidelberg, New York, Springer, 1970.",519 B931,1,2,  -  -    ,DM52.00; ($14.30 U.S.),Mathematical methods in risk theory.,,,
i10206577,"New York, Liveright [1970]",355.0335 F962,2,,  -  -    ,0871405229 $4.95,The Pentagon propaganda machine [by] J. W. Fulbright.,X,,
i10206759,"Washington, Brookings Institution [1970]",322 L492,4,,  -  -    ,815751990 $6.50,"Spear and scepter; army, police, and politics in tropical Africa [by] Ernest W. Lefever.",,,
i10206802,"London, New York, Published for the Development Centre of the Organization for Economic Co-operation and Development by Oxford U.P., 1970.",338.9 L778,4,,  -  -    ,0192153358 90/-,"Industry and trade in some developing countries: a comparative study [by] Ian Little, Tibor Scitovsky [and] Maurice Scott.",X,,
i1020684x,"New York, Columbia University Press, 1970.",209 R188,2,,  -  -    ,231033273 $7.95,Hellenistic ways of deliverance and the making of the Christian synthesis.,X,,
