Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i1070341x,"New York, Toronto, Rinehart & company, inc., 1946.",098 D559B,,,  -  -    ,,"Bookbinding, its background and technique, by Edith Diehl.",
i10703548,"New York, International Publishers, [1966, c1939]",335 E57H,0,,  -  -    ,,"Herr Eugen Duhring's revolution in science (Anti-Duhring), by Frederick Engels. [Translated by Emile Burns. Edited by C. P. Dutt]",
i10703779,"New York, Published for the Institute for the Study of the USSR [by] Praeger, 1968.",330.947 D489T,2,,  -  -    ,,The Development of the Soviet economy; plan and performance. Edited by Vladimir G. Treml. Associate editor: Robert Farrell.,
i10703901,"New York, Reinhold Pub. Corp. [1964]",668.4 B141,3,,  -  -    ,,Engineering design for plastics.,
i10704061,"Englewood Cliffs, N. J., Prentice-Hall [c1975]",155.93 K95D,17,,  -  -    ,0131969986 (pbk.),Death: the final stage of growth.,
i10704334,"New York, G. P. Putnam's Sons [c1940]",191.9 P568,2,,  -  -    ,,The Philosopher of the common man; essays in honor of John Dewey to celebrate his eightieth birthday.,
i10704437,New York : Harper & brothers [1950],281.1 A65G,1,,  -  -    ,,Apostolic Fathers.;The Apostolic Fathers : an American translation / by Edgar J. Goodspeed.,
i10704796,"Boulder, Colo. : Westview Press, 1976.",301.41209 B763,3,,  -  -    ,891580093,The underside of history : a view of women through time / Elise Boulding.,
i10704905,"New York, Praeger [1957]",335.4 D576N,10,1,  -  -    ,,"The new class; an analysis of the communist system, by Milovan Djilas.",
i10705399,"New Haven, Yale University Press, 1952.",341.6 F383P,0,,  -  -    ,,Peace in their time; the origins of the Kellogg-Briand pact.,
i10705648,"New York, F. A. Praeger [1966]",327.73 G228,2,,  -  -    ,,In pursuit of world order; U.S. foreign policy and international organizations [by] Richard N. Gardner.,
i10705788,"New York : League for Industrial Democracy, United Federation of Teachers, AFL-CIO, 1966.",379.2 U72,2,,  -  -    ,,The urban school crisis : an anthology of essays / by Maurice R. Berube ... [et al.] ; introduction by Irving Howe.,
i10705892,"London, New York, Oxford University Press, 1959.",693.5 F115,5,1,  -  -    ,,Reinforced concrete simply explained. Rev. by John Faber.,
i10705922,"New York, Harper [1958]",232 K75,1,,  -  -    ,,"Jesus: Lord and Christ; a trilogy comprising: The man CHrist Jesus, CHrist the Lord, On the meaning of Christ.",X
i10705946,"New York, Ballantine Books [c1959]",364.17 K93P,4,,  -  -    ,,"Pornography and the law; the psychology of erotic realism and pornography, by Eberhard and Phyllis Kronhausen.",
