Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i10461073,"New York, A. A. Knopf, 1945.",323.44 B395F,2,,  -  -    ,,"Freedom and responsibility in the American way of life; five lectures delivered ... at the University of Michigan, December 1944; with an introductory essay by George H. Sabine.",
i10461127,"New York, Harper [1960]",378.73 S464A,0,,  -  -    ,,Accreditation; a struggle over standards in higher education.,
i10461188,"Princeton, N.J., Princeton University Press, 1966.",312 C652,24,,  -  -    ,,"Regional model life tables and stable populations, by Ansley J. Coale and Paul Demeny.",
i10461279,"London, New York [etc.] Oxford U.P., 1966.",355.48 C598,0,,  -  -    ,,"Voices prophesying war, 1763-1984 [by] I. F. Clarke.",
i10461292,"New York, McGraw-Hill [1973]",391.1 S364,73,,  -  -    ,0070554803 $35.00,Esquire's encyclopedia of 20th century men's fashions [by] O. E. Schoeffler and William Gale.,X
i10461395,"Philadelphia, Saunders, 1973.",574.192 H685,1,,  -  -    ,721647057,Strategies of biochemical adaptation [by] Peter W. Hochachka [and] George N. Somero.,
i10461553,"New York, Wiley [1973]",621.3817 R572,7,,  -  -    ,471722006,Hybrid microelectronic circuits: the thick film [by] Richard A. Rikoski.,
i10461607,"New York, Holt, Rinehart and Winston [1974]",301.29494 F911,0,,  -  -    ,30082064,Kippel: a changing village in the Alps.,X
i1046167x,"London, Muller, 1972.",686.20944 F778H,7,1,  -  -    ,0584103506 L.4.50,"Fournier, the compleat typographer.",X
i10461917,"New Haven, Yale University Press; [etc., etc.] 1919.",141 R88,1,,  -  -    ,,Lectures on modern idealism.,
i10461929,"New York, Harcourt, Brace & World [1964]",342.73 R834,0,,  -  -    ,,Alexander Hamilton and the Constitution.,
i1046198x,"New York, International Universities Press [1963]",616.8914 T176,5,,  -  -    ,,An introduction to psychotherapy.,
i10462223,"New York, Macmillan [1973]",370.973 G646,4,1,  -  -    ,23446102,A history of American education [by] Harry G. Good [and] James D. Teller.,
i10462235,"Cambridge, Mass., MIT Press [1973]",331.0973 W926,2,,  -  -    ,026208063X 0262580233 (pbk) $10.00,"Work in America; report of a special task force to the Secretary of Health, Education, and Welfare.",X
i10462259,"San Francisco, Jossey-Bass Publishers, 1973.",378.1002 M912,3,,  -  -    ,875891616,Academic computers in service [by] Charles Mosmann.,
i10462260,"New York, Grossman Publishers, 1973.",353.0082 B513,12,,  -  -    ,0670254606 $7.95,Damming the West; Ralph Nader's study group report on the Bureau of Reclamation [by] Richard L. Berkman and W. Kip Viscusi.,X
i10462284,"New York, Praeger [1973]",332.63 B347,16,,  -  -    ,$16.50,The investment function of Canadian financial institutions [by] Daniel J. Baum.,
i10462375,"New York, Praeger [1973]",301.31 U93,4,,  -  -    ,$15.00,"Environmental policy; concepts and international implications, edited by Albert E. Utton [and] Daniel H. Henning.",
i1046248x,"Boston, Houghton Mifflin, 1973.",338.973 G148,0,,  -  -    ,0395172063 0395178940 (pbk.) $10.00,Economics and the public purpose.,X
i10462491,"Boston, Houghton Mifflin, 1973.",338.973 G148,0,,  -  -    ,0395172063 0395178940 (pbk.) $10.00,Economics and the public purpose.,X
i10462545,"London, Taylor and Francis, 1972.",541.37 B665E,2,,  -  -    ,0850660513 L.6.00,Electro-chemical science [by] J. O'M. Bockris and D. M. Drazic.,X
i10462582,"New York, Wiley [1973]",541.38 S971,0,,  -  -    ,471838551,Radiation chemistry; an introduction [by] A. J. Swallow.,
i10462648,"Boston, Houghton Mifflin [1958]",320.9 P247E,1,,  -  -    ,,"The evolution of political thought, by C. Northcote Parkinson.",
i10463100,"New York : Wiley, 1978.",659.1 H326,5,,  -  -    ,470993958,Industrial advertising and publicity / Norman A. Hart.,X
i10463112,"New York, W.W. Norton and Company, inc. [1942]",136.7 A425P,4,1,  -  -    ,,"Psychotherapy with children, by Frederick H. Allen ...",
i10463276,"New York, R. R. Bowker Co., 1957.",655.4 B787B,1,,  -  -    ,,Bowker lectures on book publishing.,
i10463331,"Garden City, N.Y., Doubleday, 1967.",329.6 H586,0,,  -  -    ,,In a cause that will triumph; the Goldwater campaign and the future of conservatism.,
i10463690,"New York, Columbia University Press, 1973.",301.412 R831,11,,  -  -    ,0231037953 $12.95,The feminist papers: from Adams to de Beauvoir. Edited and with introductory essays by Alice S. Rossi.,X
i10463707,"Indianapolis, Bobbs-Merrill [1974]",301.451 H587B2,1,,  -  -    ,672612372,"Black neighbors: Negroes in a northern rural community [by] George K. Hesslink, with the contribution of Joanne M. Hesslink.",
i10463756,"London, Allen Lane, 1973.",193 W831zK,5,1,  -  -    ,0713903457 L.3.00,Wittgenstein [by] Anthony Kenny.,X
i10463859,"Springfield, Ill., Thomas [1954]",610.9 M234H,1,1,  -  -    ,,A history of medicine.,
i10463975,"Middletown, Conn., Wesleyan University Press [1969, c1964]",158.1 R514C,12,,  -  -    ,,"Centering in pottery, poetry, and the person.",
i10463999,"New York, Bookmailer [1962]",327.73 D639,0,,  -  -    ,,Freedom and foreign policy.,
i10464219,"New York, Union of American Hebrew Congregations, [1965]",296.7 G536,2,,  -  -    ,,"Consecrated unto me; a Jewish view of love and marriage, by Roland B. Gittelsohn. Illustrated by William B. Steinel.",
i10464293,"Garden City, N.Y., Natural History Press, 1966.",301.3 D221,20,,  -  -    ,,"Future environments of North America; being the record of a conference convened by the Conservation Foundation in April, 1965, at Airlie House, Warrenton, Virginia. Edited by F. Fraser Darling and John P. Milton.",
i10464608,"[New York?] Wayfarer Press; distributed by Dodd, Mead, New York [1967]",232 H292,1,,  -  -    ,,The Shining Stranger; an unorthodox interpretation of Jesus and His mission. Introd. by Gerald Heard.,
i10464645,"New York, Doubleday & Mcclure Co., 1898.",333 G348,6,,  -  -    ,,"The land question, Property in land, The condition of labor.",
i10464748,"New York, Scribner [1973]",577 L967,5,,  -  -    ,0684133091 $7.95,Life: the unfinished experiment [by] S. E. Luria.,X
i10464827,"New Haven, Yale University Press, 1958.",339.4 D436S,3,,  -  -    ,,Studies in household economic behavior.,X
i1046489x,"Metuchen, N.J., Scarecrow Reprint Corp., 1967.",070.50942 M962R,1,,  -  -    ,,"The romance of book selling: a history from the earliest times to the twentieth century, by Frank A. Mumby. With a bibliography by W. H. Peet.",
i1046492x,"London, Macmillan and co., limited, 1930.",262.13 B975,1,,  -  -    ,,"History of the papacy in the 19th century (1864-1878) by the late J. B. Bury ... edited, with a memoir, by the Rev. R. H. Murray, LITT. D.",
i10464943,"Princeton, N. J., Van Nostrand [1960]",519.9 C551,1,,  -  -    ,,Statistical processes and reliability engineering [by] Dimitris N. Chorofas.,
i10465030,"London, John W. Parker and Son, 1857.",109 L67A,3,,  -  -    ,,The biographical history of philosophy from its origin in Greece down to the present day. By George Henry Lewes.,X
i10465212,"New York, Longmans, Green, 1954.",100 S782C,1,,  -  -    ,,The compass of philosophy; an essay in intellectual orientation [by] Newton P. Stallknecht [and] Robert S. Brumbaugh.,
i10465340,"New York, Academic Press, 1972.",614.7 M587,4,,  -  -    ,124406602,Metallic contaminants and human health. Scientific editor. Douglas H. K. Lee.,
i10465376,"Oxford, New York, Pergamon Press [1966]",517.35 A311,0,,  -  -    ,,"Tables of Laguerre polynomials and functions [by] V. S. Aizenshtadt, V. I. Krylov, and A. S. Metelskii. Translated by Prasenjit Basu.",
i10465492,"[Lexington, Ky.] Society for Applied Anthropology, 1966.",309.16 B867,0,,  -  -    ,,Applied anthropology in English-speaking Africa [by] David Brokensha.,
i10465637,"New York, Praeger [1973]",344.01 K23,0,,  -  -    ,,International manual on collective bargaining for public employees. Edited by Seymour P. Kaye [and] Arthur Marsh. Foreword by Theodore W. Kheel.,
i10465674,"New York, Praeger [1957]",335.4 F251N,0,1,  -  -    ,,The naked god; the writer and the Communist Party.,
i10465704,[Buffalo] Mathematical Assn. of America [1948],512.8 M131R,1,,  -  -    ,,Rings and ideals.,
i10465844,"New York, Harper & Row [1973]",301.31 T246,13,,  -  -    ,0060142316 $7.95,The restoration of the earth [by] Theodore B. Taylor [and] Charles C. Humpstone.,X
i10465893,"New York, Praeger [1973]",301.441 D866,6,,  -  -    ,,"Perspectives on poverty, edited by Dennis J. Dugan [and] William H. Leahy.",
i1046590x,"New York, Praeger [1973]",379.153 G536S,1,,  -  -    ,$14.00,"School boards and school policy; an evaluation of decentralization in New York City [by] Marilyn Gittell, with Maurice R. Berube [and others]",
i10465959,"New York, Praeger [1973]",338.4769 G788,11,,  -  -    ,,Large scale housing and real estate firms; analysis of a new business enterprise.,X
i10466034,"New York, Praeger Publishers [1973]",331.1 O75,7,,  -  -    ,$16.50,"New directions in employability; reducing barriers to full employment, edited by David B. Orr.",
i10466083,"New York, Holt, Rinehart and Winston [1974]",519.5 E26,3,1,  -  -    ,30069017,Statistical analysis [by] Allen L. Edwards.,
i10466137,"London, Boston, Routledge and Kegan Paul, 1973.",340.1 G981,0,,  -  -    ,0710075197 L.3.00,Sociology of law; with a preface by Roscoe Pound.,X
i10466198,"New York, Commonwealth Fund, 1948.",131.3 R414M,1,,  -  -    ,,Mental health in modern society [by] Thomas A.C. Rennie and Luther E. Woodward.,
i10466502,"Hamden, Conn., Archon Books, 1966.",331.1 B168,6,2,  -  -    ,,"Mutual survival; the goal of unions and management, by E. Wight Bakke.",
i10466563,"New York, Macmillan [1965]",519 P895S,0,,  -  -    ,,Stochastic processes; basic theory and its applications [by] N. U. Prabhu.,
