Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i10422961,"New York, Harper [1950]",341.1 F853N,1,,  -  -    ,,"Freedom & union.;The new Federalist, by Publius II: Owen J. Roberts, John F. Schmidt and Clarence K. Streit [editor.",
i10423035,"New York, Macmillan [1964]",512.896 H719E2,5,,  -  -    ,,Elementary matrix algebra.,
i10423047,"New York, Chelsea Pub. Co. [1960]",512.5 M167C,0,1,  -  -    ,,Combinatory analysis.,
i10423072,"Princeton, N.J., Princeton University Press, 1963.",519.92 D195,5,,  -  -    ,,Linear programming and extensions.,
i10423096,[Cambridge] Technology Press of Massachusetts Institute of Technology [1960],519.92 H851,3,,  -  -    ,,Dynamic programming and Markov processes.,
i10423114,"Princeton, N.J., Van Nostrand [1960]",512.817 H194N,3,,  -  -    ,,Naive set theory.,
i1042314x,"New York, Van Nostrand, 1952.",510.1 K63I,1,,  -  -    ,,Introduction to metamathematics.,
i10423151,"Amsterdam, North-Holland Pub. Co.; New York, Wiley, 1967 [c1964]",539.74 B878,1,,  -  -    ,,"Unified theory of nuclear models and forces, by G. E. Brown.",
i10423266,"[New York] Special Libraries Association, 1973.",016.7 S535,9,,  -  -    ,871112078,"Picture searching; techniques and tools [by] Renata V. Shaw, compiler.",
i10423357,"New York, Praeger Publishers [1972]",327.11 P944,1,,  -  -    ,0275286185;9780275286187,Preventing nuclear theft: guidelines for industry and government. Edited by Robert B. Leachman [and] Phillip Althoff.,
i10423394,"New York, Macmillan [1972]",364.973 W983,4,,  -  -    ,,"400 miles from Harlem; courts, crime, and correction.",
i1042345x,"New York, Weybright and Talley [1972]",332.0973 J83M,2,,  -  -    ,$10.00,"The money lords; the great finance capitalists, 1925-1950.",
i10423515,"New York, Praeger [1972]",330.9729 O58,16,,  -  -    ,$6.95,Rape of the American Virgins [by] Edward A. O'Neill.,
i10423540,"Oxford, Clarendon Press, 1972.",538.4 S785,0,,  -  -    ,0198513275 L.5.50,"Oxide magnetic materials, by K. J. Standley.",X
i10423643,"New York, Academic Press, 1972.",511.5 R284,3,,  -  -    ,125838506,Graph theory and computing. Edited by Ronald C. Read. Contributors: Claude Berge [and others],
i10423783,"Englewood Cliffs, N.J., Prentice-Hall [1965-",512.8 W284,,,  -  -    ,,Modern algebra.,
i10423795,"New York, Praeger [1961]",337.914 F828,1,,  -  -    ,,The European common market; an analysis of commercial policy.,
i10423801,"Washington, Public Affairs Press [1948]",337 B648,4,,  -  -    ,,Wool tariffs and American policy.,
i10423813,"Englewood Cliffs, N.J., Prentice-Hall [1967]",512.89 F447,2,2,  -  -    ,,Linear transformations and matrices [by] F. A. Ficken.,
i10423837,"Oxford, Clarendon, P., 1966-",512.81 H157,1,,  -  -    ,,Sequences.,
i10423850,"New York, Academic Press, 1967.",513.83 O66,2,,  -  -    ,,The four-color problem.,
i10423904,"New York, McGraw-Hill [1964]",512.817 P527,1,,  -  -    ,,"Sets, events, and switching.",
i10423989,"New York, J. Wiley [1966]",517.6 G815N,3,,  -  -    ,,"Numerical solutions of nonlinear differential equations; proceedings of an advanced symposium conducted by the Mathematics Research Center, United States Army, at the University of Wisconsin, Madison, May 9-11, 1966.",
